k,e1,e2
161.03,-3389.96615,1426.4507085884618
161.51,-3410.22537,1427.2597585538977
161.99,-3428.92827,1407.5526854035434
162.47,-3439.5859,1374.41312317474
162.96,-3444.46529,1330.593695913844
163.44,-3445.86892,1286.0990187613804
163.92,-3444.34901,1246.7271838977551
164.4,-3442.38761,1211.0188655
164.88,-3438.96502,1188.7643216581757
165.37,-3433.55443,1186.570265556026
165.85,-3425.82472,1194.0400820953876
166.33,-3411.16253,1202.9660676650033
166.81,-3386.28955,1206.7083712129968
167.29,-3353.20783,1197.200383999522
167.78,-3317.97478,1182.2075958099892
168.26,-3288.5275,1170.3768381495304
168.74,-3267.91884,1158.3837291776697
169.22,-3254.79766,1149.2031735690816
169.71,-3245.60856,1144.1226628189263
170.19,-3236.98897,1134.9068906666666
170.67,-3228.75841,1123.680639977735
171.15,-3221.30005,1115.4151439647094
171.63,-3214.32366,1106.829291541106
172.12,-3205.82187,1103.3763549793168
172.6,-3194.70202,1106.9202607508691
173.08,-3179.31148,1105.502806559048
173.56,-3160.15835,1099.2227460933393
174.04,-3137.63872,1091.6820566005515
174.53,-3110.99991,1077.6513465059304
175.01,-3082.87584,1062.1262333711218
175.49,-3057.15668,1048.5942107682488
175.97,-3034.26438,1031.7783587736546
176.45,-3015.36932,1017.5097574775858
176.94,-2999.97921,1011.1519091825478
177.42,-2986.46587,1006.33325373171
177.9,-2975.99603,1004.0315491842608
178.38,-2968.12846,1006.1304390007849
178.87,-2958.47185,1004.6903395876334
179.35,-2944.66516,1002.1248109450794
179.83,-2927.06083,1000.0268905610853
180.31,-2907.14513,989.7394454659197
180.79,-2888.06256,976.5354569303613
181.28,-2870.56747,967.8304732577229
181.76,-2853.29777,959.3201336595511
182.24,-2837.39656,955.9782431683493
182.72,-2824.30897,956.8462449275394
183.2,-2815.6875,963.3929017449782
183.69,-2808.65659,965.746613498612
184.17,-2804.05893,964.5468307329098
184.65,-2802.99004,962.2394370151096
185.13,-2802.09507,952.2587402482579
185.61,-2798.15946,941.2335754543398
186.1,-2787.82044,935.7355982594304
186.58,-2769.03697,929.6540031885518
187.06,-2747.46255,927.471741106383
187.54,-2728.35395,929.1408633806122
188.03,-2714.27522,937.6125389318727
188.51,-2701.36797,942.1265335101588
188.99,-2689.16803,943.937424720673
189.47,-2679.15891,945.6736592632078
189.95,-2670.16223,940.0404842682811
190.44,-2661.33378,932.9767454975845
190.92,-2650.90658,930.7381040498639
191.4,-2636.10585,926.2763526102403
191.88,-2620.93962,923.5103925426308
192.36,-2609.32461,919.9054306993138
192.85,-2602.43725,916.4979958579207
193.33,-2595.16856,904.6945508082554
193.81,-2584.82752,892.3682849727053
194.29,-2571.61706,888.4091131949149
194.78,-2554.81095,886.3189505649451
195.26,-2540.12203,885.5005405408175
195.74,-2532.24869,883.24788336385
196.22,-2529.54276,870.0332109383345
196.7,-2528.5705,854.3146378135232
197.19,-2520.32279,842.6850081983874
197.67,-2499.30828,842.0490453313098
198.15,-2466.7613,842.1082330117589
198.63,-2435.99117,843.4384224723354
199.11,-2418.68914,849.3100866389432
199.6,-2414.31702,852.4570162
200.08,-2418.94404,856.1413922970812
200.56,-2424.5981,857.2518235524532
201.04,-2427.8761,857.3959104840828
201.52,-2425.15029,849.0870084952362
202.01,-2418.78576,839.0568125318548
202.49,-2409.79573,829.7983689278483
202.97,-2399.52241,826.3117271293296
203.45,-2385.73075,820.1871608198575
203.94,-2372.59883,813.999161929195
204.42,-2366.06168,809.9055366488602
204.9,-2365.79064,798.3808030645192
205.38,-2370.71494,784.894210204499
205.86,-2373.71203,773.9419273881277
206.35,-2368.54608,774.2769559627818
206.83,-2351.73163,777.8742002904802
207.31,-2330.1376,784.3576151240172
207.79,-2313.46318,790.8005469762742
208.27,-2302.28342,785.2099655381957
208.76,-2297.27418,772.645904188542
209.24,-2295.12934,757.6765652970751
209.72,-2294.64442,747.8787484445928
210.2,-2290.3233,736.2708583274976
210.68,-2282.0875,726.2996112861211
211.17,-2267.79836,718.4019477406829
211.65,-2250.21977,717.7597633596977
212.13,-2230.17373,717.7696866753406
212.61,-2214.04124,720.8602527907435
213.1,-2203.30136,724.3151840906617
213.58,-2198.04939,729.6325018915628
214.06,-2191.85536,728.1395878107072
214.54,-2185.04007,724.6537950990958
215.02,-2179.17717,724.0944842595106
215.51,-2170.46173,720.2907969150388
215.99,-2160.28055,717.0171825984536
216.47,-2148.94488,713.4732238765648
216.95,-2139.9052,711.8155086869787
217.43,-2129.67931,704.765673713471
217.92,-2118.40175,697.4867347109031
218.4,-2103.66598,692.6021920668499
218.88,-2087.36776,694.4983651895103
219.36,-2069.56344,695.0782383648796
219.85,-2056.93899,694.4573505550147
220.33,-2050.83679,691.6356530257341
220.81,-2050.21488,691.7884299412164
221.29,-2046.34607,691.7318497356412
221.77,-2041.17306,694.09411489435
222.26,-2037.54438,695.4033493584091
222.74,-2039.50919,695.9243070868276
223.22,-2041.57683,690.0406998453544
223.7,-2041.23435,683.5020858961109
224.18,-2035.38326,678.0926525361762
224.67,-2026.58772,676.0550200192282
225.15,-2013.70349,671.0908496772818
225.63,-2001.50579,665.7612599574525
226.11,-1990.70268,661.1857765112555
226.59,-1982.24723,659.9596203410565
227.08,-1970.88798,656.867472277259
227.56,-1958.95266,653.7917070323431
228.04,-1947.47959,651.1797996134012
228.52,-1939.70412,651.9138279621915
229.01,-1931.24287,652.139642227501
229.49,-1923.66972,653.4280925826833
229.97,-1916.00314,655.0810109442101
230.45,-1909.09141,659.2223933271426
230.93,-1899.03879,661.6893854212099
231.42,-1887.57714,663.8745875955407
231.9,-1875.0995,665.0982013923242
232.38,-1863.51782,666.7005145602892
232.86,-1849.91613,665.2702916042257
233.34,-1836.79153,662.8588193765322
233.83,-1825.82158,659.2815876907155
234.31,-1821.03289,656.2682899154113
234.79,-1820.83077,651.0983699234209
235.27,-1825.6994,646.189453668721
235.76,-1832.21738,642.2934826370886
236.24,-1838.61812,641.4693235761938
236.72,-1838.68158,641.1385481164244
237.2,-1834.05035,642.888714522091
237.68,-1825.79476,645.3383724654999
238.17,-1817.42822,646.6762897938448
238.65,-1807.60361,642.1899696435785
239.13,-1799.65766,633.2194371006566
239.61,-1793.93016,623.3490466861983
240.09,-1790.71102,617.85782
240.58,-1784.55679,615.984489705046
241.06,-1777.33266,617.4119584747365
241.54,-1771.25355,619.4182160710442
242.02,-1768.67584,620.5911016292869
242.5,-1771.09281,621.6998688841237
242.99,-1772.55135,622.1589746845549
243.47,-1771.81183,622.2776563783628
243.95,-1768.01744,620.7731491822094
244.43,-1763.76727,617.1059626150636
244.92,-1756.78489,610.0194439745225
245.4,-1748.55063,601.4861967088833
245.88,-1738.55515,594.0902756487718
246.36,-1728.26348,590.5291893318721
246.84,-1715.65356,591.5984018854318
247.33,-1702.77038,595.9825712355154
247.81,-1690.48665,600.5755671775958
248.29,-1680.25477,602.494753801603
248.77,-1675.01695,601.2450626274873
249.25,-1672.93468,598.6146412958877
249.74,-1673.84569,596.6315982573876
250.22,-1675.47601,595.5559227721204
250.7,-1676.71092,594.4217254871959
251.18,-1674.12055,592.8501618636834
251.66,-1668.81576,591.3945399974568
252.15,-1661.2304,590.9598198818163
252.63,-1652.72897,591.2873934337173
253.11,-1645.33141,590.3893485131366
253.59,-1637.43318,588.3805476791672
254.08,-1629.29283,585.3729199674118
254.56,-1620.70087,582.7944071486486
255.04,-1613.25307,580.6813057888959
255.52,-1606.52549,579.5999102279274
256.0,-1601.87544,578.8226586920313
256.49,-1598.6413,578.6763994034856
256.97,-1596.4207,579.247465488267
257.45,-1596.86374,578.322586481414
257.93,-1599.35095,575.8700146248982
258.41,-1603.8084,571.1705844875972
258.9,-1607.06017,566.5388675096176
259.38,-1607.22505,563.3635697572673
259.86,-1603.35893,562.2568610065421
260.34,-1598.0133,559.7977226385497
260.83,-1592.51844,553.8583378111414
261.31,-1586.36293,545.4459168644139
261.79,-1579.27781,536.2635325899384
262.27,-1571.82025,529.179306430625
262.75,-1566.93618,522.2196293964605
263.24,-1565.6161,513.537484323811
263.72,-1566.70749,502.30041156135286
264.2,-1567.77959,492.1762456710068
264.68,-1567.42047,485.21483855130725
265.16,-1565.23871,482.749079599638
265.65,-1560.46726,483.9436936424619
266.13,-1552.66679,485.25494890737605
266.61,-1541.64916,485.8957883378718
267.09,-1529.51662,483.09542859365763
267.57,-1518.29122,477.7192640781852
268.06,-1508.08852,472.3866334504215
268.54,-1497.77889,468.14448150413347
269.02,-1487.14366,466.33676946085797
269.5,-1477.29961,464.4353568883117
269.99,-1469.27599,461.6562058854032
270.47,-1462.69741,458.6644607160868
270.95,-1456.00923,455.09695766451375
271.43,-1448.39177,452.0229612496776
271.91,-1439.96694,448.30227552940306
272.4,-1431.65937,445.5438056842878
272.88,-1424.53928,445.7396828698329
273.36,-1421.26724,451.1649777010535
273.84,-1423.17579,457.71258372363434
274.32,-1430.22596,459.9499661551473
274.81,-1439.12568,454.4037170146646
275.29,-1444.88419,440.7712714336154
275.77,-1445.4915,423.93295045291364
276.25,-1441.04812,405.4564833908416
276.73,-1433.38178,387.38218485758676
277.22,-1423.04874,371.6186109534665
277.7,-1409.46142,358.9859354006482
278.18,-1394.16246,350.8730444855849
278.66,-1379.02205,342.93179135132414
279.15,-1366.13766,332.61595807315064
279.63,-1355.83189,320.5419947709473
280.11,-1346.36942,308.37214840284173
