k,e1,e2
9166.67,80.2117,0.0160089
9198.72,80.2233,0.0158422
9230.77,80.2347,0.0156778
9262.82,80.2459,0.0155157
9294.87,80.2571,0.0153557
9326.92,80.2682,0.015198
9358.97,80.2791,0.0150424
9391.03,80.2899,0.014889
9423.08,80.3006,0.0147376
9455.13,80.3112,0.0145883
9487.18,80.3217,0.014441
9519.23,80.3321,0.0142956
9551.28,80.3424,0.0141522
9583.33,80.3526,0.0140107
9615.38,80.3627,0.0138711
9647.44,80.3727,0.0137333
9679.49,80.3826,0.0135974
9711.54,80.3923,0.0134632
9743.59,80.402,0.0133309
9775.64,80.4116,0.0132002
9807.69,80.4211,0.0130712
9839.74,80.4305,0.0129439
9871.79,80.4398,0.0128183
9903.85,80.4491,0.0126943
9935.9,80.4582,0.0125718
9967.95,80.4673,0.012451
10000.0,80.4762,0.0123317
