#Frequency,Eps1,Eps2,Eps1,Eps2
246.203,-1323.363115,232.8005415,5,0.1
246.846,-1314.625406,230.9828187,5,0.1
247.489,-1305.947656,229.9363141,5,0.1
248.132,-1297.530237,229.4425788,5,0.1
248.774,-1289.265298,229.2117671,5,0.1
249.417,-1281.280901,230.0122615,5,0.1
250.06,-1274.266786,231.279492,5,0.1
250.703,-1268.804639,233.1791887,5,0.1
251.346,-1265.336421,233.6664621,5,0.1
251.988,-1262.107742,231.55359,5,0.1
252.631,-1257.400327,228.0844502,5,0.1
253.274,-1251.377415,224.7633088,5,0.1
253.917,-1244.748926,221.5443503,5,0.1
254.56,-1237.078384,218.0760708,5,0.1
255.203,-1228.385428,216.2163973,5,0.1
255.845,-1220.029594,215.5863033,5,0.1
256.488,-1212.670635,216.1067419,5,0.1
257.131,-1207.099773,216.6276131,5,0.1
257.774,-1202.497713,215.1508989,5,0.1
258.417,-1196.863715,212.0679071,5,0.1
259.06,-1189.220453,208.6973003,5,0.1
259.702,-1180.12608,207.1488749,5,0.1
260.345,-1171.394931,207.6213269,5,0.1
260.988,-1164.204459,209.1002411,5,0.1
261.631,-1158.476756,210.0839916,5,0.1
262.274,-1153.150287,210.0934136,5,0.1
262.917,-1147.646625,209.8282926,5,0.1
263.559,-1141.97596,209.2953047,5,0.1
264.202,-1136.160379,209.1222727,5,0.1
264.845,-1130.520395,208.9809126,5,0.1
265.488,-1125.251486,209.3359699,5,0.1
266.131,-1120.86084,209.3120933,5,0.1
266.774,-1116.498111,208.0756806,5,0.1
267.416,-1111.549817,206.8758491,5,0.1
268.059,-1106.300793,205.3933991,5,0.1
268.702,-1100.775234,204.4272873,5,0.1
269.345,-1095.182431,203.2430943,5,0.1
269.988,-1089.565118,203.0201342,5,0.1
270.63,-1084.788291,202.6341422,5,0.1
271.273,-1080.461687,201.7906306,5,0.1
271.916,-1075.914863,199.7393078,5,0.1
272.559,-1070.31008,197.5943485,5,0.1
273.202,-1063.852601,195.7858438,5,0.1
273.845,-1057.017634,195.1757221,5,0.1
274.487,-1050.566318,195.2067974,5,0.1
275.13,-1044.573406,195.8882155,5,0.1
275.773,-1039.4815,196.9779484,5,0.1
276.416,-1035.342962,197.5925595,5,0.1
277.059,-1031.516192,197.3808186,5,0.1
277.702,-1027.404452,196.5426212,5,0.1
278.344,-1022.858083,195.5769851,5,0.1
278.987,-1017.646761,194.4153783,5,0.1
279.63,-1011.849607,194.4802138,5,0.1
280.273,-1006.925242,195.8187489,5,0.1
280.916,-1003.62002,197.090242,5,0.1
281.559,-1001.327888,197.0958527,5,0.1
282.201,-998.8582601,195.6693996,5,0.1
282.844,-995.3986108,193.6144489,5,0.1
283.487,-991.3277382,192.0712014,5,0.1
284.13,-987.2668381,190.3709566,5,0.1
284.773,-982.9037998,188.5915238,5,0.1
285.416,-977.9608798,186.6524478,5,0.1
286.058,-972.2921695,185.5045857,5,0.1
286.701,-966.8737419,185.728329,5,0.1
287.344,-962.7917924,186.4843204,5,0.1
287.987,-959.747572,186.234739,5,0.1
288.63,-956.6773909,185.1695733,5,0.1
289.272,-953.3003639,183.5362888,5,0.1
289.915,-949.1728836,181.3767409,5,0.1
290.558,-944.268099,179.9541316,5,0.1
291.201,-939.5375524,179.2097646,5,0.1
291.844,-935.284575,178.5989058,5,0.1
292.487,-931.3643744,177.7708785,5,0.1
293.129,-927.460443,176.4860159,5,0.1
293.772,-922.8816621,174.707482,5,0.1
294.415,-917.5540461,173.9296765,5,0.1
295.058,-912.7522722,174.1932666,5,0.1
295.701,-908.9602256,174.4333752,5,0.1
296.344,-905.7276231,174.0830563,5,0.1
296.986,-902.4271492,172.9722557,5,0.1
297.629,-898.4842753,171.5326089,5,0.1
298.272,-894.0994417,170.6966214,5,0.1
298.915,-889.9765193,170.2225735,5,0.1
299.558,-886.1579168,169.6858206,5,0.1
300.201,-882.4016735,169.0207641,5,0.1
300.843,-878.5526473,168.3257807,5,0.1
301.486,-874.9003289,168.1065854,5,0.1
302.129,-871.881601,167.5055726,5,0.1
302.772,-868.7547282,166.0369454,5,0.1
303.415,-864.9267404,164.5110216,5,0.1
304.058,-860.7397549,163.4398025,5,0.1
304.7,-856.9456822,163.0268625,5,0.1
305.343,-853.7232139,161.9601307,5,0.1
305.986,-850.2945191,160.4355804,5,0.1
306.629,-846.1537429,158.3168697,5,0.1
307.272,-841.1509881,157.0283005,5,0.1
307.914,-836.101648,156.3844208,5,0.1
308.557,-831.3235878,156.5868391,5,0.1
309.2,-827.3227158,157.1214402,5,0.1
309.843,-824.0980689,157.4763195,5,0.1
310.486,-821.3760276,157.1981525,5,0.1
311.129,-818.5475199,155.9944474,5,0.1
311.771,-814.9475636,154.3216813,5,0.1
312.414,-810.3796551,152.8840027,5,0.1
