T[K]	Re[\chi]	Im[\chi]
 175.17700	  12.38291	  -0.15733
 174.85100	  12.37467	  -0.16563
 174.52700	  12.37899	  -0.15841
 174.20700	  12.36913	  -0.16103
 173.88900	  12.37645	  -0.16207
 173.57200	  12.38059	  -0.16396
 173.25700	  12.37731	  -0.16360
 172.94300	  12.37081	  -0.15432
 172.63100	  12.36618	  -0.15931
 172.31900	  12.37876	  -0.16260
 172.00900	  12.37139	  -0.16744
 171.69800	  12.36224	  -0.17042
 171.38600	  12.38231	  -0.16090
 171.07400	  12.37819	  -0.17116
 170.76100	  12.36669	  -0.16726
 170.44800	  12.37144	  -0.16414
 170.13800	  12.36391	  -0.16618
 169.82800	  12.37064	  -0.16598
 169.51800	  12.36709	  -0.16145
 169.20900	  12.36329	  -0.15939
 168.90000	  12.37066	  -0.16879
 168.59200	  12.36646	  -0.16476
 168.28500	  12.37821	  -0.16214
 167.97800	  12.37207	  -0.15463
 167.67300	  12.36775	  -0.16104
 167.36800	  12.37725	  -0.16403
 167.06300	  12.38434	  -0.16215
 166.76000	  12.36616	  -0.16164
 166.45600	  12.36690	  -0.16550
 166.15300	  12.36955	  -0.17505
 165.85100	  12.37026	  -0.16454
 165.54900	  12.37541	  -0.16476
 165.24800	  12.37811	  -0.16913
 164.94800	  12.38003	  -0.15947
 164.64800	  12.37899	  -0.16397
 164.34900	  12.37859	  -0.16189
 164.05100	  12.37065	  -0.16096
 163.75300	  12.37589	  -0.16329
 163.45600	  12.38329	  -0.15830
 163.15900	  12.37644	  -0.16144
 162.86300	  12.37625	  -0.16831
 162.56700	  12.36365	  -0.17304
 162.27300	  12.36539	  -0.17156
 161.97900	  12.37314	  -0.16585
 161.68600	  12.37749	  -0.16183
 161.39300	  12.37796	  -0.16348
 161.10100	  12.36950	  -0.15551
 160.80900	  12.36703	  -0.16092
 160.51800	  12.36897	  -0.17115
 160.22700	  12.37389	  -0.17026
 159.93800	  12.38157	  -0.16798
 159.64800	  12.37205	  -0.16393
 159.35600	  12.36978	  -0.16526
 159.06400	  12.36060	  -0.15785
 158.77200	  12.36195	  -0.17099
 158.48100	  12.36754	  -0.17334
 158.19100	  12.36267	  -0.16809
 157.90100	  12.36393	  -0.14847
 157.61200	  12.37501	  -0.16194
 157.32300	  12.36400	  -0.15383
 157.03600	  12.38020	  -0.15839
 156.74800	  12.37687	  -0.16974
 156.46000	  12.36411	  -0.16271
 156.17300	  12.35833	  -0.15858
 155.88700	  12.35226	  -0.16852
 155.60300	  12.36166	  -0.16721
 155.31800	  12.36868	  -0.17133
 155.03400	  12.36335	  -0.17409
 154.75000	  12.36643	  -0.16967
 154.46700	  12.36386	  -0.16459
 154.18500	  12.36167	  -0.16161
 153.90300	  12.37917	  -0.15627
 153.62100	  12.37313	  -0.16380
 153.34000	  12.36768	  -0.15766
 153.06000	  12.36127	  -0.16821
 152.78000	  12.36458	  -0.17031
 152.50200	  12.37112	  -0.17187
 152.22300	  12.36343	  -0.16557
 151.94400	  12.37533	  -0.15205
 151.66700	  12.37336	  -0.16346
 151.39000	  12.37274	  -0.16361
 151.11400	  12.36937	  -0.15747
 150.83800	  12.38274	  -0.17071
 150.56300	  12.37617	  -0.16668
 150.28800	  12.36910	  -0.16536
 150.01500	  12.37656	  -0.16681
 149.74200	  12.35861	  -0.16861
 149.46900	  12.37078	  -0.16830
 149.19700	  12.36726	  -0.16445
 148.92300	  12.35996	  -0.16402
 148.65100	  12.37017	  -0.15807
 148.37900	  12.36243	  -0.16597
 148.10700	  12.37467	  -0.16472
 147.83500	  12.36975	  -0.16289
 147.56100	  12.36711	  -0.17202
 147.28800	  12.36809	  -0.16864
 147.01600	  12.37165	  -0.16056
 146.74500	  12.36767	  -0.16297
 146.47400	  12.37209	  -0.15495
 146.20400	  12.37077	  -0.17042
 145.93400	  12.37360	  -0.17130
 145.66500	  12.36969	  -0.16561
 145.39500	  12.35981	  -0.16893
 145.12700	  12.37255	  -0.16868
 144.86000	  12.36358	  -0.17095
 144.59400	  12.36249	  -0.16922
 144.32800	  12.36511	  -0.16735
 144.06400	  12.36769	  -0.17047
 143.80000	  12.37265	  -0.17937
 143.53600	  12.36337	  -0.17435
 143.27300	  12.36511	  -0.16724
 143.01100	  12.36629	  -0.17834
 142.74800	  12.36304	  -0.17363
 142.48600	  12.34729	  -0.17024
 142.22500	  12.37265	  -0.18233
 141.96500	  12.36028	  -0.18124
 141.70600	  12.36234	  -0.16227
 141.44800	  12.36584	  -0.16769
 141.19000	  12.36401	  -0.17133
 140.93300	  12.37254	  -0.16300
 140.67600	  12.36776	  -0.15705
 140.42000	  12.36414	  -0.16710
 140.16400	  12.36200	  -0.16663
 139.90900	  12.36275	  -0.16486
 139.65500	  12.36246	  -0.16049
 139.40000	  12.36395	  -0.16359
 139.14700	  12.36840	  -0.17123
 138.89500	  12.36071	  -0.17647
 138.64300	  12.37466	  -0.17485
 138.39100	  12.37019	  -0.16698
 138.14100	  12.36597	  -0.17698
 137.89100	  12.35988	  -0.17256
 137.64200	  12.35503	  -0.16968
 137.39100	  12.35828	  -0.17031
 137.13800	  12.36312	  -0.17623
 136.88700	  12.36027	  -0.17178
 136.63500	  12.35794	  -0.16968
 136.38500	  12.35709	  -0.17588
 136.13500	  12.36149	  -0.17631
 135.88700	  12.36008	  -0.17072
 135.64400	  12.36168	  -0.15476
 135.40000	  12.35573	  -0.16797
 135.15500	  12.36009	  -0.17270
 134.90800	  12.35876	  -0.17293
 134.66200	  12.36307	  -0.17318
 134.41600	  12.35538	  -0.17309
 134.17000	  12.36084	  -0.17831
 133.92400	  12.35992	  -0.17322
 133.67900	  12.35651	  -0.16140
 133.43400	  12.35575	  -0.16837
 133.19000	  12.35821	  -0.16847
 132.94600	  12.35926	  -0.17140
 132.70300	  12.36293	  -0.16539
 132.46200	  12.36252	  -0.17350
 132.22100	  12.35594	  -0.16464
 131.98100	  12.36354	  -0.16639
 131.74000	  12.36607	  -0.17725
 131.49900	  12.35456	  -0.18998
 131.26000	  12.35097	  -0.18640
 131.02100	  12.35118	  -0.16885
 130.78300	  12.36001	  -0.16892
 130.54500	  12.36122	  -0.17414
 130.30700	  12.35198	  -0.17586
 130.07000	  12.36187	  -0.17456
 129.83500	  12.36244	  -0.16736
 129.59900	  12.36403	  -0.16726
 129.36400	  12.35466	  -0.17008
 129.12900	  12.35254	  -0.16616
 128.89500	  12.34854	  -0.17078
 128.66100	  12.35275	  -0.16855
 128.42900	  12.36946	  -0.17832
 128.19600	  12.35631	  -0.17717
 127.96500	  12.35256	  -0.17020
 127.73300	  12.35413	  -0.17400
 127.50200	  12.35647	  -0.17420
 127.27000	  12.36079	  -0.17010
 127.03800	  12.34616	  -0.17008
 126.80400	  12.35107	  -0.18204
 126.57100	  12.35734	  -0.17841
 126.33800	  12.35419	  -0.18560
 126.10600	  12.34853	  -0.17795
 125.87400	  12.35942	  -0.17805
 125.64200	  12.35875	  -0.18369
 125.41300	  12.35729	  -0.18516
 125.18400	  12.36440	  -0.18227
 124.95400	  12.35906	  -0.17676
 124.72500	  12.35916	  -0.17935
 124.49600	  12.35406	  -0.17988
 124.26700	  12.36005	  -0.18253
 124.04100	  12.35747	  -0.18914
 123.81500	  12.35827	  -0.18216
 123.58900	  12.34980	  -0.18786
 123.36300	  12.35105	  -0.18113
 123.13700	  12.36054	  -0.16872
 122.91200	  12.35878	  -0.16624
 122.68800	  12.35998	  -0.17171
 122.46400	  12.35928	  -0.17076
 122.24000	  12.36902	  -0.17888
 122.01700	  12.36252	  -0.17447
 121.79500	  12.35875	  -0.18308
 121.57300	  12.35142	  -0.16990
 121.35200	  12.36540	  -0.17089
 121.13000	  12.36151	  -0.17571
 120.90900	  12.36001	  -0.17544
 120.68900	  12.36202	  -0.17359
 120.47000	  12.35701	  -0.17902
 120.25100	  12.35310	  -0.18165
 120.03300	  12.35669	  -0.18865
 119.81400	  12.35755	  -0.16714
 119.59600	  12.35224	  -0.17808
 119.37800	  12.35268	  -0.18070
 119.16100	  12.36545	  -0.16737
 118.94700	  12.35895	  -0.17440
 118.73300	  12.35137	  -0.16686
 118.51900	  12.35927	  -0.17566
 118.30400	  12.36046	  -0.18378
 118.09000	  12.35304	  -0.17292
 117.87300	  12.35971	  -0.17989
 117.65600	  12.35780	  -0.18465
 117.43900	  12.35655	  -0.19024
 117.22200	  12.34868	  -0.19076
 117.00600	  12.35180	  -0.18093
 116.79100	  12.35572	  -0.18023
 116.57600	  12.36080	  -0.18315
 116.36200	  12.35313	  -0.17680
 116.14700	  12.35183	  -0.18258
 115.93300	  12.35657	  -0.18697
 115.72100	  12.36757	  -0.18893
 115.51000	  12.34908	  -0.17642
 115.30000	  12.35154	  -0.18328
 115.08800	  12.34575	  -0.18591
 114.87800	  12.35188	  -0.17113
 114.66800	  12.35577	  -0.17295
 114.45700	  12.35242	  -0.18388
 114.24700	  12.35507	  -0.18127
 114.03800	  12.36238	  -0.18851
 113.83000	  12.35962	  -0.17220
 113.62300	  12.35094	  -0.17626
 113.41600	  12.34994	  -0.18697
 113.21000	  12.34662	  -0.19231
 113.00400	  12.35308	  -0.18354
 112.79600	  12.35060	  -0.18307
 112.59100	  12.35780	  -0.19299
 112.38600	  12.34986	  -0.18703
 112.18200	  12.34277	  -0.17543
 111.97900	  12.34956	  -0.17935
 111.77700	  12.34893	  -0.17239
 111.57600	  12.35502	  -0.17440
 111.37500	  12.35202	  -0.17977
 111.17400	  12.34484	  -0.17441
 110.97500	  12.35136	  -0.17864
 110.77300	  12.35115	  -0.16998
 110.57200	  12.35321	  -0.17219
 110.37100	  12.35319	  -0.18147
 110.17000	  12.36089	  -0.18517
 109.97000	  12.35152	  -0.18288
 109.76900	  12.34766	  -0.18038
 109.57000	  12.35154	  -0.18327
 109.37200	  12.35057	  -0.17964
 109.17300	  12.33986	  -0.18612
 108.97400	  12.34605	  -0.17756
 108.77200	  12.35278	  -0.18279
 108.57100	  12.34878	  -0.17704
 108.37100	  12.35399	  -0.17550
 108.17000	  12.35525	  -0.18432
 107.97000	  12.36039	  -0.18459
 107.77100	  12.34808	  -0.18215
 107.57300	  12.34216	  -0.18279
 107.37600	  12.34773	  -0.18001
 107.17800	  12.35304	  -0.17651
 106.98000	  12.35850	  -0.17643
 106.78200	  12.35000	  -0.18333
 106.58500	  12.34976	  -0.17496
 106.38700	  12.34962	  -0.18134
 106.19000	  12.34309	  -0.18854
 105.99300	  12.33859	  -0.17885
 105.79800	  12.34156	  -0.18343
 105.60300	  12.34952	  -0.18617
 105.40800	  12.35610	  -0.18912
 105.21400	  12.35426	  -0.18190
 105.02100	  12.35626	  -0.19313
 104.82800	  12.34485	  -0.18865
 104.63600	  12.34375	  -0.18799
 104.44400	  12.35155	  -0.18310
 104.25100	  12.33917	  -0.18001
 104.05900	  12.34418	  -0.18456
 103.86600	  12.34508	  -0.17710
 103.67400	  12.33371	  -0.18447
 103.48300	  12.33857	  -0.17661
 103.29200	  12.34958	  -0.18100
 103.10200	  12.34781	  -0.17646
 102.91200	  12.35225	  -0.16989
 102.72300	  12.33877	  -0.18830
 102.53300	  12.34967	  -0.17862
 102.34300	  12.35258	  -0.17802
 102.15300	  12.34551	  -0.18180
 101.96600	  12.34747	  -0.18616
 101.78000	  12.34509	  -0.18415
 101.59300	  12.35103	  -0.18951
 101.40600	  12.35100	  -0.19074
 101.21900	  12.33708	  -0.18586
 101.03200	  12.34662	  -0.19516
 100.84600	  12.33626	  -0.18233
 100.66000	  12.33696	  -0.18985
 100.47200	  12.33959	  -0.17695
 100.28200	  12.34342	  -0.18089
 100.09200	  12.33679	  -0.19576
  99.90300	  12.33788	  -0.18394
  99.71300	  12.33986	  -0.18903
  99.52600	  12.34133	  -0.18727
  99.34000	  12.34621	  -0.17846
  99.15500	  12.33949	  -0.18127
  98.96700	  12.33019	  -0.18363
  98.78100	  12.34541	  -0.16854
  98.59700	  12.34353	  -0.17375
  98.41100	  12.33492	  -0.18774
  98.22400	  12.34398	  -0.19045
  98.03800	  12.34873	  -0.19458
  97.85200	  12.33996	  -0.18848
  97.66900	  12.35254	  -0.17814
  97.48600	  12.34993	  -0.18049
  97.30200	  12.34779	  -0.19414
  97.11800	  12.33401	  -0.18936
  96.93300	  12.33241	  -0.18871
  96.74900	  12.34350	  -0.18204
  96.56400	  12.34948	  -0.18476
  96.38000	  12.34384	  -0.18620
  96.19800	  12.33975	  -0.19996
  96.01900	  12.34527	  -0.18685
  95.84000	  12.34159	  -0.19291
  95.66100	  12.33889	  -0.18341
  95.48200	  12.34224	  -0.17829
  95.30100	  12.34330	  -0.19324
  95.12100	  12.33455	  -0.18221
  94.94400	  12.33825	  -0.17854
  94.76500	  12.34258	  -0.18900
  94.58700	  12.34158	  -0.19630
  94.40700	  12.33930	  -0.19010
  94.23000	  12.33533	  -0.18988
  94.05500	  12.35545	  -0.18723
  93.87700	  12.34217	  -0.19259
  93.70000	  12.34127	  -0.18665
  93.52200	  12.34426	  -0.18616
  93.34200	  12.35026	  -0.19099
  93.16300	  12.35067	  -0.18879
  92.98500	  12.34490	  -0.17590
  92.80700	  12.34306	  -0.18420
  92.62800	  12.34006	  -0.19461
  92.45000	  12.34055	  -0.19780
  92.27100	  12.34399	  -0.20726
  92.09300	  12.33887	  -0.19156
  91.91600	  12.34547	  -0.17789
  91.74100	  12.34177	  -0.19785
  91.56500	  12.34450	  -0.19427
  91.39000	  12.33606	  -0.18848
  91.21600	  12.33994	  -0.19729
  91.04400	  12.33570	  -0.19258
  90.87100	  12.32456	  -0.19283
  90.69700	  12.33231	  -0.18683
  90.52200	  12.34018	  -0.19013
  90.34700	  12.33837	  -0.20849
  90.17200	  12.33083	  -0.19070
  89.99800	  12.33272	  -0.18388
  89.82700	  12.33701	  -0.18684
  89.65700	  12.33144	  -0.18953
  89.48600	  12.33489	  -0.18786
  89.31600	  12.33821	  -0.18234
  89.14700	  12.34479	  -0.19158
  88.97900	  12.33537	  -0.18742
  88.81000	  12.33527	  -0.19804
  88.63900	  12.33807	  -0.19387
  88.46900	  12.33640	  -0.19650
  88.29900	  12.34488	  -0.19874
  88.12800	  12.34438	  -0.19711
  87.95600	  12.34631	  -0.19080
  87.78600	  12.32998	  -0.19343
  87.62100	  12.33894	  -0.20137
  87.45600	  12.33101	  -0.19585
  87.28800	  12.32636	  -0.18573
  87.12300	  12.34164	  -0.19018
  86.95800	  12.34166	  -0.19180
  86.78900	  12.33660	  -0.20530
  86.62200	  12.33916	  -0.19187
  86.45500	  12.34562	  -0.19527
  86.28700	  12.33667	  -0.19208
  86.12000	  12.32874	  -0.21134
  85.95500	  12.33435	  -0.20980
  85.78900	  12.33619	  -0.20632
  85.62500	  12.34336	  -0.19884
  85.45800	  12.34286	  -0.18704
  85.29500	  12.33505	  -0.18818
  85.13300	  12.33011	  -0.18808
  84.96800	  12.33631	  -0.19279
  84.80500	  12.34313	  -0.18548
  84.64100	  12.33560	  -0.18447
  84.47700	  12.34420	  -0.17969
  84.31200	  12.33259	  -0.18388
  84.15100	  12.32833	  -0.19033
  83.99200	  12.33329	  -0.19806
  83.83000	  12.33382	  -0.19977
  83.67200	  12.33059	  -0.18844
  83.51100	  12.32367	  -0.19162
  83.34900	  12.33292	  -0.19617
  83.19200	  12.32896	  -0.19452
  83.03200	  12.32481	  -0.18927
  82.87300	  12.33034	  -0.18509
  82.71300	  12.33309	  -0.19031
  82.55500	  12.32655	  -0.18940
  82.40000	  12.33302	  -0.18984
  82.24300	  12.32272	  -0.19852
  82.08800	  12.32452	  -0.19961
  81.93300	  12.33159	  -0.19623
  81.77700	  12.32923	  -0.18923
  81.62200	  12.33175	  -0.18352
  81.46500	  12.34541	  -0.18474
  81.30900	  12.32695	  -0.19039
  81.15400	  12.32832	  -0.19189
  81.00000	  12.34091	  -0.19443
  80.84400	  12.33765	  -0.20936
  80.68700	  12.33696	  -0.19548
  80.53100	  12.33616	  -0.18740
  80.37600	  12.32579	  -0.18115
  80.22100	  12.31801	  -0.19400
