#Frequency,Eps1ab,Eps2ab,Eps1c,Eps2c
192.848,-2544.018563,220.9704039,5,0.1
193.491,-2512.41531,227.7622622,5,0.1
194.134,-2489.662655,241.1542944,5,0.1
194.777,-2476.958383,251.9209447,5,0.1
195.42,-2470.156907,256.5419232,5,0.1
196.062,-2463.89953,251.8019487,5,0.1
196.705,-2451.052972,240.5104553,5,0.1
197.348,-2429.823075,231.2637253,5,0.1
197.991,-2405.856224,229.6471815,5,0.1
198.634,-2385.614375,233.2988263,5,0.1
199.277,-2370.775849,237.0218144,5,0.1
199.919,-2358.95175,237.0063838,5,0.1
200.562,-2345.676847,232.6727065,5,0.1
201.205,-2329.058062,228.472365,5,0.1
201.848,-2310.070297,225.674533,5,0.1
202.491,-2291.134924,227.3842938,5,0.1
203.134,-2275.340213,230.5865301,5,0.1
203.776,-2261.901467,232.9482351,5,0.1
204.419,-2249.969472,234.9329752,5,0.1
205.062,-2239.547012,235.4705632,5,0.1
205.705,-2230.167513,234.5284524,5,0.1
206.348,-2221.533163,231.0109984,5,0.1
206.991,-2211.609441,223.5971545,5,0.1
207.633,-2196.570054,213.4085353,5,0.1
208.276,-2175.977057,207.2943035,5,0.1
208.919,-2155.588415,207.9581872,5,0.1
209.562,-2139.579559,211.2083308,5,0.1
210.205,-2127.767479,213.4751496,5,0.1
210.847,-2117.908381,211.9882272,5,0.1
211.49,-2105.578154,206.1776249,5,0.1
212.133,-2088.952582,201.7800731,5,0.1
212.776,-2071.789762,201.2194019,5,0.1
213.419,-2056.283311,201.3398374,5,0.1
214.062,-2040.903675,200.9678562,5,0.1
214.704,-2024.319641,201.3113007,5,0.1
215.347,-2007.326085,204.7621985,5,0.1
215.99,-1992.52692,211.6209135,5,0.1
216.633,-1983.519516,221.0802273,5,0.1
217.276,-1980.730517,225.6073,5,0.1
217.919,-1978.850669,223.016816,5,0.1
218.561,-1972.524099,214.2810461,5,0.1
219.204,-1958.791774,205.3580313,5,0.1
219.847,-1940.436891,202.0288059,5,0.1
220.49,-1923.327317,205.415635,5,0.1
221.133,-1910.797286,211.1332973,5,0.1
221.776,-1902.774478,216.6372277,5,0.1
222.418,-1897.727431,218.756756,5,0.1
223.061,-1892.709021,217.4602346,5,0.1
223.704,-1886.232539,214.2282389,5,0.1
224.347,-1878.112478,210.3261627,5,0.1
224.99,-1868.883313,206.6913704,5,0.1
225.633,-1858.780712,202.9487671,5,0.1
226.275,-1847.15427,199.8160597,5,0.1
226.918,-1835.723111,199.9767009,5,0.1
227.561,-1826.876303,200.5356365,5,0.1
228.204,-1820.528853,200.2873744,5,0.1
228.847,-1814.547653,195.7193491,5,0.1
229.49,-1805.88948,189.9768235,5,0.1
230.132,-1795.283788,184.7863802,5,0.1
230.775,-1784.021695,180.7271732,5,0.1
231.418,-1771.628714,176.1648765,5,0.1
232.061,-1758.153054,174.530832,5,0.1
232.704,-1746.142575,174.6089867,5,0.1
233.346,-1736.163829,174.9638068,5,0.1
233.989,-1727.220369,173.6092852,5,0.1
234.632,-1717.389346,171.030813,5,0.1
235.275,-1706.211025,168.9969898,5,0.1
235.918,-1695.121633,168.7768886,5,0.1
236.561,-1685.749905,169.148346,5,0.1
237.203,-1677.71939,167.9374979,5,0.1
237.846,-1668.723022,164.4880529,5,0.1
238.489,-1657.058696,161.0337948,5,0.1
239.132,-1644.184116,160.5201954,5,0.1
239.775,-1632.357681,161.8265601,5,0.1
240.418,-1622.397616,164.363889,5,0.1
241.06,-1614.300667,166.1234709,5,0.1
241.703,-1607.072256,166.9904087,5,0.1
242.346,-1600.122522,166.5627051,5,0.1
242.989,-1592.443572,165.034477,5,0.1
243.632,-1583.476824,163.6375373,5,0.1
244.275,-1574.100104,163.7849071,5,0.1
244.917,-1565.619878,165.0037255,5,0.1
245.56,-1559.307318,167.1683441,5,0.1
246.203,-1555.078679,166.8000398,5,0.1
246.846,-1550.249388,163.8254475,5,0.1
247.489,-1543.882829,160.0089534,5,0.1
248.132,-1536.068384,155.7019155,5,0.1
248.774,-1526.668957,151.8241837,5,0.1
249.417,-1516.433176,149.3880395,5,0.1
250.06,-1506.194811,147.8729946,5,0.1
250.703,-1496.140685,147.2796252,5,0.1
251.346,-1486.639648,147.3438231,5,0.1
251.988,-1477.383582,147.4213833,5,0.1
