k,e1,e2
163.44,-2310.43304,2533.9137371079296
163.92,-2316.59882,2512.5628007957544
164.4,-2321.05527,2487.461445947445
164.88,-2323.91417,2463.2991151763704
165.37,-2323.68154,2449.236026719961
165.85,-2322.51856,2441.7089980944224
166.33,-2316.39623,2433.0425495131367
166.81,-2302.47051,2416.5250485529646
167.29,-2283.62323,2388.482795926595
167.78,-2261.27125,2357.0128397906783
168.26,-2238.91469,2328.693402221086
168.74,-2223.0711,2299.7610931719805
169.22,-2214.82601,2272.0971279602886
169.71,-2212.82742,2248.4418687252373
170.19,-2217.0171,2224.728747902462
170.67,-2222.94974,2203.282455173376
171.15,-2225.18221,2188.790622640257
171.63,-2222.6571,2181.2162456621804
172.12,-2211.78944,2182.897084346502
172.6,-2193.41031,2189.635439324218
173.08,-2175.21037,2186.027546088976
173.56,-2160.96033,2170.282569691634
174.04,-2150.83432,2149.296459749023
174.53,-2145.32334,2123.187677266258
175.01,-2141.03293,2095.4804409585736
175.49,-2136.1814,2066.001486768249
175.97,-2131.2618,2031.7857024317782
176.45,-2124.16622,2003.0749759324456
176.94,-2113.54596,1988.5105318010624
177.42,-2102.50135,1982.4735392900466
177.9,-2092.14623,1981.996807218887
178.38,-2081.21643,1986.1055962495795
178.87,-2070.88224,1988.330411991055
179.35,-2060.30702,1988.7488730152218
179.83,-2050.75015,1984.56073696113
180.31,-2046.80185,1967.407779712495
180.79,-2046.04995,1944.4487759703522
181.28,-2043.06529,1925.6217757113857
181.76,-2037.92299,1908.9005807962149
182.24,-2029.14857,1895.8198569510535
182.72,-2018.48685,1884.6713241549912
183.2,-2007.13793,1878.8024495406114
183.69,-1998.93867,1872.2210598231804
184.17,-1994.79962,1866.0230846693814
184.65,-1993.67061,1861.2445923782288
185.13,-1995.0964,1852.706148462162
185.61,-1995.33142,1845.7754922409351
186.1,-1991.90867,1843.4029349324019
186.58,-1987.74322,1835.8109996460498
187.06,-1982.77758,1824.2793625249653
187.54,-1977.36616,1811.6056272104086
188.03,-1971.163,1805.566885722704
188.51,-1967.28728,1801.1595358943296
188.99,-1964.14716,1799.7655758649664
189.47,-1957.75819,1802.0888260953186
189.95,-1947.5735,1800.5779637816267
190.44,-1932.96833,1799.0204329718545
190.92,-1916.8966,1799.8076976465536
191.4,-1904.87391,1793.2256688566354
191.88,-1896.17087,1781.5744713341671
192.36,-1890.4605,1766.0632389419836
192.85,-1887.55383,1752.9138310985738
193.33,-1890.2661,1738.7931311477785
193.81,-1893.41122,1729.7727288243123
194.29,-1890.53006,1728.6271630922847
194.78,-1881.99867,1723.3603467785194
195.26,-1872.94419,1712.002433709106
195.74,-1868.81396,1697.0205383747827
196.22,-1870.86955,1676.6226059231474
196.7,-1870.91824,1660.6390788435183
197.19,-1862.35469,1649.936738472742
197.67,-1846.9815,1643.9274972103
198.15,-1834.83607,1632.58452420974
198.63,-1828.81985,1623.5526995352163
199.11,-1824.11318,1626.783084415047
199.6,-1817.17519,1634.2614055533065
200.08,-1808.88367,1642.0940503226707
200.56,-1806.18935,1642.072474743917
201.04,-1811.08862,1637.2344721191803
201.52,-1820.17927,1624.396326632394
202.01,-1823.73691,1612.350952357408
202.49,-1816.14181,1603.6309393951308
202.97,-1798.75963,1601.789328150367
203.45,-1780.15518,1597.5386338687638
203.94,-1767.5011,1591.763846100618
204.42,-1764.60156,1585.5734058581352
204.9,-1772.16123,1570.152413354807
205.38,-1784.41025,1552.2574614071477
205.86,-1795.69189,1535.7092607605168
206.35,-1801.94395,1526.360607518682
206.83,-1803.84773,1515.2003924560265
207.31,-1800.48685,1506.2932045636005
207.79,-1792.11925,1504.5462099691038
208.27,-1781.07243,1501.3904353704324
208.76,-1770.47979,1498.183584685955
209.24,-1763.45101,1491.7509159504875
209.72,-1760.23674,1485.7143529933244
210.2,-1759.41415,1473.720744194101
210.68,-1758.01631,1462.127388248149
211.17,-1753.39102,1451.577156422219
211.65,-1743.36367,1447.1052395725017
212.13,-1728.17675,1442.1552118646114
212.61,-1711.42342,1440.4891732146184
213.1,-1699.66711,1438.2022589135618
213.58,-1697.15244,1435.1039258280737
214.06,-1701.37472,1422.8809699134822
214.54,-1703.66748,1411.0625740068988
215.02,-1696.98754,1409.126745446377
215.51,-1682.03569,1409.2422485187694
215.99,-1665.36511,1410.8341264280753
216.47,-1653.22133,1408.3375120534022
216.95,-1647.30902,1403.55835009357
217.43,-1644.77904,1389.2861114068894
217.92,-1642.92329,1371.4794203783042
218.4,-1639.63217,1354.1273862831504
218.88,-1633.27396,1346.249571509503
219.36,-1622.43956,1343.9554218863966
219.85,-1609.14382,1348.6031013753015
220.33,-1597.3749,1353.5887253948167
220.81,-1590.86818,1357.0843334486663
221.29,-1588.08713,1351.710648482986
221.77,-1587.62348,1344.8630066430987
222.26,-1588.0206,1339.2537986041573
222.74,-1590.34819,1338.308069492682
223.22,-1594.27722,1333.501665749664
223.7,-1599.00613,1326.5208528826106
224.18,-1602.40015,1316.337226390579
224.67,-1603.60244,1306.1160950026263
225.15,-1600.23174,1291.7114645599825
225.63,-1592.51297,1279.97604344245
226.11,-1580.33416,1273.326689348724
226.59,-1566.27994,1273.2364394479898
227.08,-1552.71338,1269.4692226528095
227.56,-1544.1867,1262.207397174899
228.04,-1540.5306,1252.9734271683915
228.52,-1538.98046,1248.5338988755468
229.01,-1533.29651,1245.3116183967513
229.49,-1524.30735,1244.2953863955727
229.97,-1513.92962,1242.7969558916382
230.45,-1504.33886,1242.846143042916
230.93,-1493.2489,1240.9934390005628
231.42,-1480.39715,1240.2357145729843
231.9,-1467.00216,1238.555615536352
232.38,-1456.26387,1235.6101304743952
232.86,-1448.20749,1226.6063170363307
233.34,-1442.62718,1216.3412049169451
233.83,-1438.04439,1208.2303357651283
234.31,-1435.80038,1205.8451469048696
234.79,-1436.16514,1203.448026181013
235.27,-1439.82864,1200.5746528942916
235.76,-1443.79196,1195.8098215181544
236.24,-1445.62539,1192.580196200813
236.72,-1442.25933,1188.6340487510986
237.2,-1437.52843,1186.2677372094433
237.68,-1434.39987,1183.7504164890609
238.17,-1434.08624,1180.726733602049
238.65,-1431.98672,1173.9297480796145
239.13,-1427.54021,1166.758511990131
239.61,-1421.91196,1160.638374956304
240.09,-1418.71186,1156.669002927069
240.58,-1415.62014,1151.0298549463794
241.06,-1411.44773,1147.068717471169
241.54,-1404.33094,1147.519776458392
242.02,-1396.03141,1152.8831884493843
242.5,-1391.99232,1160.5363430696907
242.99,-1392.69974,1162.9238503423187
243.47,-1398.36685,1158.773518931778
243.95,-1405.15516,1150.0458112831318
244.43,-1410.48766,1141.9959014731414
244.92,-1410.30248,1135.1373669965703
245.4,-1406.58396,1130.5274022488998
245.88,-1400.17067,1127.1035063494387
246.36,-1392.66246,1124.613107742328
246.84,-1381.57738,1121.8956605435098
247.33,-1368.32433,1120.0719771149475
247.81,-1354.36957,1119.455118739357
248.29,-1341.84959,1119.4924938558945
248.77,-1334.41854,1119.4288561484102
249.25,-1331.20924,1116.71525656345
249.74,-1332.61229,1111.327111036278
250.22,-1336.32542,1104.5554385225803
250.7,-1340.56128,1098.8881990828881
251.18,-1341.07215,1095.65369695342
251.66,-1338.06755,1095.5031274579987
252.15,-1331.4727,1097.495848
252.63,-1321.86219,1100.4392443602105
253.11,-1311.91611,1102.0164721594563
253.59,-1301.57069,1100.4874323107379
254.08,-1293.69072,1094.5174048526449
254.56,-1288.93744,1085.584913891735
255.04,-1287.89266,1076.3534923787643
255.52,-1287.79219,1069.4818763742956
256.0,-1289.22437,1065.0592868
256.49,-1291.59032,1062.307932186362
256.97,-1293.94898,1061.2650080832782
257.45,-1296.31044,1061.4195649291125
257.93,-1296.43842,1062.852788811383
258.41,-1295.97853,1062.3088815508686
258.9,-1294.90812,1058.1080739754348
259.38,-1293.29288,1050.7559086911867
259.86,-1289.25452,1043.8664746859079
260.34,-1284.01126,1038.1439224111546
260.83,-1279.21325,1031.5229192940997
261.31,-1276.64934,1021.1707853727756
261.79,-1277.25594,1006.5074073526107
262.27,-1279.28446,992.137165892401
262.75,-1282.78277,981.0615385647193
263.24,-1287.36252,973.415811173378
263.72,-1292.44385,966.3257461396935
264.2,-1295.82588,959.5096501288418
264.68,-1296.00157,953.3177079259483
265.16,-1292.50312,949.9689429624376
265.65,-1286.32596,949.4115088016564
266.13,-1279.26202,948.3464362155337
266.61,-1270.39269,945.9337249094933
267.09,-1260.20955,940.5995203844399
267.57,-1249.01524,934.0119968352209
268.06,-1238.16092,927.8881721160934
268.54,-1229.64483,921.9120998926044
269.02,-1223.5578,917.2218268622408
269.5,-1219.44316,912.1668669735064
269.99,-1215.78346,905.8261050124819
270.47,-1211.89684,897.5408961616446
270.95,-1208.25809,886.2652993818785
271.43,-1204.78566,875.8865241877464
271.91,-1201.62592,869.2239197081386
272.4,-1198.07845,869.2830772458151
272.88,-1193.90341,874.4563101848431
273.36,-1189.95517,882.0625330983319
273.84,-1186.9792,886.3745135084722
274.32,-1185.22283,884.5674199177604
274.81,-1184.42175,875.9504973297916
275.29,-1184.0764,860.241396208798
275.77,-1184.2794,840.919643945752
276.25,-1184.38192,819.7452345303167
276.73,-1182.915,800.8958902109638
277.22,-1177.93753,787.5424735349541
277.7,-1168.55353,778.5723984133958
278.18,-1156.40902,773.1806303775973
278.66,-1143.16754,768.1701419352615
279.15,-1129.99058,763.1601052427727
279.63,-1117.0266,758.921833673211
280.11,-1104.01846,753.140635229874
280.59,-1091.73064,745.9369130606225
281.07,-1080.07879,735.2913248574376
281.56,-1068.22961,723.7288732042904
282.04,-1054.67192,715.2703420156006
282.52,-1038.44034,711.2639577212234
283.0,-1021.11322,714.0431237219788
283.48,-1004.45222,720.4608622511641
283.97,-989.915549,728.9319691519526
284.45,-977.53755,737.6028078371595
284.93,-965.81413,744.1528001124487
285.41,-955.716716,749.3540134398935
285.9,-947.365545,753.0585830066457
286.38,-941.606504,757.4542456956492
286.86,-938.279816,764.4372922211531
287.34,-935.725082,773.5204327844366
287.82,-934.114157,785.4328797145438
288.31,-931.863361,798.1822254847906
288.79,-928.725366,810.6646904333252
289.27,-924.655572,821.5965614934146
289.75,-919.011883,829.4498236287835
290.23,-914.803071,833.8370727868241
290.72,-912.011791,835.3039341616675
291.2,-911.165691,835.859455654945
291.68,-911.397334,837.1426305854361
292.16,-910.866983,839.2217655894029
292.64,-910.164831,842.5386118719247
293.13,-909.152665,846.7552190026269
293.61,-908.928783,851.846832282824
294.09,-909.764431,857.0740300780034
294.57,-910.319305,861.4387304454629
295.06,-911.386039,863.5268862878058
295.54,-912.264405,863.7888046822763
296.02,-913.367857,863.0815883348423
296.5,-914.335472,861.8628393769984
296.98,-914.457832,859.7102433995555
297.47,-912.776878,856.221127167916
297.95,-911.761578,850.8924270135258
298.43,-912.708989,844.793592582381
298.91,-916.394585,839.2736319120805
299.39,-921.452914,835.540423423361
299.88,-924.631254,834.8857622735761
300.36,-925.835147,835.8591469182314
300.84,-924.740097,837.7226177634624
301.32,-922.952869,838.5034308493296
301.81,-921.921113,837.328968347636
302.29,-921.272407,835.3411493557841
302.77,-921.684717,832.8419785879711
303.25,-921.905243,831.7434905051277
303.73,-921.847163,831.9094687696308
304.22,-921.602967,831.8621463251593
304.7,-921.167569,830.4388927623236
305.18,-919.891783,828.2660042705288
305.66,-918.211598,824.5389927159589
306.14,-915.832935,821.5070543420658
306.63,-913.246961,819.9556152204286
307.11,-911.159475,819.6106223670996
307.59,-909.59481,820.0458809815665
308.07,-908.493001,818.4530865962931
308.55,-907.354147,815.271547066213
309.04,-905.865488,811.1225299184571
309.52,-903.9859,807.5797063555183
310.0,-901.351758,807.129600636
310.48,-897.74502,807.7357461853903
310.97,-892.971099,809.5045262339133
311.45,-887.750261,810.5638556104673
311.93,-883.190717,809.0865560565512
312.41,-880.16619,804.4441401579975
312.89,-879.118228,798.4487197798588
313.38,-879.381073,791.1030921681026
313.86,-880.735399,785.1952093030013
314.34,-882.935947,781.353536170516
314.82,-885.553515,779.227439497999
315.3,-888.045772,779.1691953527434
315.79,-889.271577,777.6853022065296
316.27,-889.191631,775.77578506466
316.75,-887.939469,773.6467934349487
317.23,-885.847909,771.658390850676
317.71,-883.07867,769.7188558579837
318.2,-880.122402,768.3234016506599
318.68,-876.757261,764.8973703247144
319.16,-873.878347,760.7160996398044
319.64,-871.773572,756.5377419710925
320.13,-870.209908,753.1280737199263
320.61,-868.828186,750.6182690549889
321.09,-867.473575,749.6756697842973
321.57,-865.273503,747.2987725035296
322.05,-862.463631,744.9284786846763
322.54,-859.052998,742.8975765616667
323.02,-855.382266,741.2307965245495
323.5,-852.26865,740.8226686848841
323.98,-849.057045,739.4259804476819
324.46,-846.122787,738.6003423578869
324.95,-843.130415,738.5636148517619
325.43,-839.811793,738.7360947761423
325.91,-835.953807,738.150882101439
326.39,-831.77056,737.7301347244708
326.88,-826.170169,735.9202662437592
327.36,-820.066549,734.7018040467987
327.84,-814.533894,733.7811121644705
328.32,-810.779648,732.1208947861842
328.8,-809.28128,729.0229444189781
329.29,-809.72975,726.2284857300251
329.77,-809.075574,723.5137507398491
330.25,-806.540248,723.4927097600001
330.73,-801.768886,726.5988905082696
331.21,-795.368402,731.9647049697776
331.7,-788.385527,737.8550584944227
332.18,-782.297497,743.7521385159854
332.66,-776.629923,745.9639090177358
333.14,-772.132448,745.3048215846791
333.62,-768.869345,742.2453716278401
334.11,-766.919132,737.8242460637514
334.59,-766.500787,733.1888612624407
335.07,-768.3911,730.3851617901931
335.55,-770.788684,727.8735621562212
336.04,-773.496281,726.7801096797999
336.52,-775.683297,726.5663763650304
337.0,-776.944027,726.1960323367359
337.48,-777.452482,725.2195687968472
337.96,-778.195073,725.150193081193
338.45,-777.775546,724.6139487918452
338.93,-776.901323,724.8759400470893
339.41,-775.962828,725.1267037686574
339.89,-775.713218,724.4841554181648
340.37,-776.59673,723.0343585310103
340.86,-778.814108,722.6663550000586
341.34,-779.744833,722.6627963560087
341.82,-779.124138,723.7623589208355
342.3,-777.12301,724.8682750494887
342.78,-774.812605,724.8283657827179
343.27,-773.268549,723.4686878349987
343.75,-773.429793,722.3165473077528
344.23,-773.277738,720.4377428166051
344.71,-772.71729,719.1590437918251
345.2,-771.245853,718.4274178079953
345.68,-768.765159,718.2211024501273
346.16,-765.436975,718.6264321388953
346.64,-762.233799,720.7203642936765
347.12,-758.501988,722.9324085513942
347.61,-755.290324,725.5393623382527
348.09,-752.867572,727.5836615770635
348.57,-751.175227,728.1560697458759
349.05,-750.328348,727.0703859993697
349.53,-750.69191,724.7332112468744
350.02,-752.554976,721.7561112587852
350.5,-755.659307,719.0343939675892
350.98,-759.081367,717.4894506195226
351.46,-762.071168,718.006069881523
351.95,-764.583375,720.6773138640149
352.43,-767.04581,724.5842866248616
352.91,-769.594998,727.8873480854609
353.39,-771.961482,729.3532301170944
353.87,-773.984698,728.8710187874643
354.36,-776.175828,727.0867611351168
354.84,-779.469786,724.2966394554167
355.32,-784.007307,720.5017040943376
355.8,-788.842798,715.7798360840922
356.28,-792.94468,710.8274908558437
356.77,-796.036082,706.2708986093003
357.25,-798.681384,701.9939358681036
357.73,-801.337985,697.3880265052413
358.21,-803.842623,692.4102331925966
358.69,-805.753257,687.9247126375421
359.18,-806.865015,684.7210718252687
359.66,-807.442102,682.2868755658121
360.14,-807.68294,678.9343002069195
360.62,-807.405491,673.4788635330265
361.11,-806.549796,666.6581187973748
361.59,-805.406797,660.5015189193285
362.07,-804.483733,656.3625640676113
362.55,-803.906761,653.9705937959453
363.03,-803.236591,652.0242522060437
363.52,-801.806085,649.3377943170115
364.0,-799.047002,645.7739648432968
364.48,-794.794629,641.7436544184592
364.96,-789.634508,637.8134993377904
365.44,-784.878202,634.4323968861646
365.93,-782.066452,631.9098137758588
366.41,-781.971843,630.2265886036952
366.89,-783.704248,629.0510298696613
367.37,-785.169927,627.9358108514033
367.86,-784.676178,626.7192514489208
368.34,-782.21935,625.2953024168975
368.82,-778.987684,623.3514980362237
369.3,-776.010252,620.4935096298944
369.78,-773.394672,616.8837578170806
370.27,-770.881492,613.0137875127881
370.75,-768.861167,609.3603057812542
371.23,-768.09926,605.8849471802387
371.71,-768.993409,602.4436030403273
