W E1
456.192 -415.226
462.822 -402.231
469.547 -389.615
476.371 -377.367
483.293 -365.479
490.316 -353.939
497.441 -342.74
504.67 -331.871
512.004 -321.324
519.444 -311.092
526.993 -301.165
534.651 -291.535
542.42 -282.197
550.303 -273.142
558.299 -264.363
566.413 -255.855
574.643 -247.61
582.994 -239.625
591.466 -231.898
600.061 -224.407
608.781 -217.152
617.628 -210.129
626.603 -203.333
635.709 -196.76
644.947 -190.406
654.319 -184.267
663.827 -178.338
673.474 -172.617
683.261 -167.098
693.19 -161.779
703.263 -156.656
713.483 -151.726
723.851 -146.986
734.37 -142.433
745.041 -138.064
755.868 -133.875
766.852 -129.865
777.996 -126.03
789.302 -122.366
800.772 -118.872
812.408 -115.544
824.214 -112.38
836.192 -109.386
848.343 -106.531
860.671 -103.815
873.178 -101.236
885.867 -98.7892
898.74 -96.47
911.8 -94.2719
925.05 -92.1882
938.493 -90.2119
952.131 -88.3355
965.967 -86.5513
980.005 -84.8515
994.246 -83.2279
1008.69 -81.6726
1023.35 -80.1779
1038.22 -78.7364
1053.31 -77.3414
1068.62 -75.9876
1084.15 -74.679
1099.9 -73.3856
1115.88 -72.0998
1132.1 -70.8225
1148.55 -69.5512
1165.24 -68.2836
1182.17 -67.0176
1199.35 -65.7518
1216.78 -64.4851
1234.46 -63.2173
1252.4 -61.9485
1270.6 -60.6794
1289.07 -59.4113
1307.8 -58.1464
1326.8 -56.8884
1346.09 -55.6484
1365.65 -54.3976
1385.49 -53.1449
1405.63 -51.8955
1426.05 -50.6524
1446.78 -49.418
1467.8 -48.1945
1489.13 -46.9839
1510.77 -45.7879
1532.72 -44.6086
1555 -43.4478
1577.59 -42.3081
1600.52 -41.1966
1623.78 -40.1059
1647.37 -39.0232
1671.31 -37.9569
1695.6 -36.9094
1720.24 -35.8818
1745.24 -34.8752
1770.6 -33.8902
1796.33 -32.9277
1822.43 -31.9885
1848.92 -31.0739
1875.78 -30.1907
1903.04 -29.3245
1930.7 -28.4729
1958.75 -27.6397
1987.22 -26.826
2016.1 -26.0322
2045.39 -25.2585
2075.12 -24.5051
2105.27 -23.7726
2135.87 -23.0618
2166.9 -22.3771
2198.39 -21.7043
2230.34 -21.0461
2262.75 -20.404
2295.63 -19.7783
2328.99 -19.1692
2362.84 -18.5768
2397.17 -18.0011
2432.01 -17.4429
2467.35 -16.9046
2503.2 -16.3762
2539.58 -15.8602
2576.48 -15.3572
2613.93 -14.8674
2651.91 -14.3909
2690.45 -13.9275
2729.54 -13.4777
2769.21 -13.0432
2809.45 -12.6183
2850.28 -12.2032
2891.7 -11.7986
2933.72 -11.4044
2976.35 -11.0208
3019.6 -10.6476
3063.48 -10.2849
3108 -9.93384
3153.17 -9.59041
3198.99 -9.25513
3245.47 -8.92827
3292.64 -8.60981
3340.48 -8.29967
3389.03 -7.99777
3438.28 -7.70426
3488.24 -7.4191
3538.93 -7.14006
3590.36 -6.8678
3642.53 -6.6023
3695.47 -6.34348
3749.17 -6.09124
3803.65 -5.84551
3858.92 -5.60658
3915 -5.37309
3971.89 -5.14506
4029.61 -4.9225
4088.17 -4.70532
4147.58 -4.49343
4207.85 -4.28672
4269 -4.08514
4331.03 -3.88863
4393.97 -3.69643
4457.82 -3.50867
4522.6 -3.32527
4588.32 -3.14613
4655 -2.97115
4722.65 -2.80024
4791.28 -2.63334
4860.9 -2.47029
4931.54 -2.31077
5003.2 -2.15478
5075.91 -2.00225
5149.67 -1.85308
5224.5 -1.70719
5300.43 -1.56448
5377.45 -1.4249
5455.59 -1.28838
5534.87 -1.15471
5615.31 -1.02384
5696.91 -0.895712
5779.69 -0.770256
5863.68 -0.647398
5948.89 -0.527071
6035.34 -0.409206
6123.04 -0.293741
6212.02 -0.180627
6302.3 -0.0697655
6393.88 0.0389039
6486.79 0.145431
6581.06 0.249869
6676.69 0.352271
6773.72 0.452687
6872.15 0.551167
6972.02 0.647759
7073.33 0.742508
7176.12 0.835457
7280.4 0.926647
7386.2 1.01612
7493.53 1.10393
7602.43 1.1901
7712.91 1.27468
7824.99 1.35769
7938.7 1.43916
8054.06 1.51914
8171.1 1.59766
8289.84 1.67473
8410.31 1.7504
8532.53 1.82468
8656.52 1.89761
8782.32 1.96921
8909.94 2.03951
9039.42 2.10853
9170.77 2.17629
9304.04 2.24282
9439.25 2.30813
9576.42 2.37225
9715.58 2.43519
9856.76 2.49698
10000 2.55764
